text,ground_truth,ground_truth_tr,category_id,category,difficulty,surface_tone,hard_case,viewpoint,annotation_note,id,difficulty_tr,category_tr,predicted_label,predicted_label_tr,score_negative,score_neutral,score_positive,correct
"Lima Gayrimenkul, 2025 yıl sonu sonrasında bilanço dayanıklılığını korumak amacıyla bu yıl temettü dağıtmayacağını ve yatırım harcamalarının bir bölümünü sonraki döneme kaydıracağını duyurdu.",negative,negatif,hard_dividend_cut,olumlu dille temettü iptali,hard,positive_like,True,investor_impact,Koruyucu dil kullanılmasına rağmen temettü iptali ve harcama ertelemesi yatırımcı açısından negatiftir.,PHRASE-0040,hard,olumlu dille temettü iptali,neutral,nötr,0.00691,0.976754,0.016336,False
"Nova Sağlık, portföy sadeleştirme programı kapsamında 228 milyon TL stok ve varlık değer düşüklüğü gideri kaydettiğini açıkladı.",negative,negatif,hard_inventory_writeoff,olumlu dille değer düşüklüğü,hard,positive_like,True,investor_impact,Portföy sadeleştirme dili olumlu görünse de değer düşüklüğü gideri yatırımcı açısından negatiftir.,PHRASE-0042,hard,olumlu dille değer düşüklüğü,neutral,nötr,0.336665,0.561853,0.101482,False
"Güney Perakende, sermaye yapısını güçlendirmek ve büyüme esnekliğini artırmak amacıyla %170 oranında bedelli sermaye artırımı planladığını duyurdu.",negative,negatif,hard_rights_issue,olumlu dille bedelli sermaye artırımı,hard,positive_like,True,investor_impact,Dil olumlu olsa da hissedar seyrelmesi yaratan bedelli sermaye artırımı yatırımcı açısından negatiftir.,PHRASE-0044,hard,olumlu dille bedelli sermaye artırımı,positive,pozitif,0.006462,0.200154,0.793384,False
"Nova Sağlık, mevcut kredi limitini 9 ay benzer vade ve maliyet koşullarıyla yenilediğini ve işlem nedeniyle kârlılık beklentilerinde değişiklik olmadığını açıkladı.",neutral,nötr,unchanged_financing_rollover,koşulları değişmeyen finansman yenilemesi,nuanced,neutral_like,False,investor_impact,Yeni değer yaratan veya bozan bir unsur içermeyen finansman yenilemesi neutral etiketlenir.,PHRASE-0048,nüanslı,koşulları değişmeyen finansman yenilemesi,positive,pozitif,0.006124,0.363644,0.630232,False
"Delta Yatırım Holding, mevcut kredi limitini 6 ay benzer vade ve maliyet koşullarıyla yenilediğini ve işlem nedeniyle kârlılık beklentilerinde değişiklik olmadığını açıkladı.",neutral,nötr,unchanged_financing_rollover,koşulları değişmeyen finansman yenilemesi,nuanced,neutral_like,False,investor_impact,Yeni değer yaratan veya bozan bir unsur içermeyen finansman yenilemesi neutral etiketlenir.,PHRASE-0049,nüanslı,koşulları değişmeyen finansman yenilemesi,positive,pozitif,0.006743,0.495257,0.498,False
"Trend Tarım, portföy sadeleştirme programı kapsamında 202 milyon TL stok ve varlık değer düşüklüğü gideri kaydettiğini açıkladı.",negative,negatif,hard_inventory_writeoff,olumlu dille değer düşüklüğü,hard,positive_like,True,investor_impact,Portföy sadeleştirme dili olumlu görünse de değer düşüklüğü gideri yatırımcı açısından negatiftir.,PHRASE-0050,hard,olumlu dille değer düşüklüğü,neutral,nötr,0.156386,0.675225,0.168389,False
"Güney Perakende, mevcut kredi limitini 6 ay benzer vade ve maliyet koşullarıyla yenilediğini ve işlem nedeniyle kârlılık beklentilerinde değişiklik olmadığını açıkladı.",neutral,nötr,unchanged_financing_rollover,koşulları değişmeyen finansman yenilemesi,nuanced,neutral_like,False,investor_impact,Yeni değer yaratan veya bozan bir unsur içermeyen finansman yenilemesi neutral etiketlenir.,PHRASE-0052,nüanslı,koşulları değişmeyen finansman yenilemesi,positive,pozitif,0.007193,0.489724,0.503084,False
"Bora Lojistik, bilanço esnekliğini korumak ve nakit yönetimini desteklemek amacıyla 724 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,6x seviyesinden 2,5x seviyesine yükseldi.",negative,negatif,hard_liquidity_pressure,olumlu dille likidite baskısı,hard,positive_like,True,investor_impact,Dil yapısı olumlu görünse de artan kısa vadeli borç ve kötüleşen kaldıraç oranı yatırımcı açısından negatiftir.,PHRASE-0053,hard,olumlu dille likidite baskısı,positive,pozitif,0.002464,0.107305,0.890231,False
"Formel Kimya, portföy sadeleştirme programı kapsamında 410 milyon TL stok ve varlık değer düşüklüğü gideri kaydettiğini açıkladı.",negative,negatif,hard_inventory_writeoff,olumlu dille değer düşüklüğü,hard,positive_like,True,investor_impact,Portföy sadeleştirme dili olumlu görünse de değer düşüklüğü gideri yatırımcı açısından negatiftir.,PHRASE-0056,hard,olumlu dille değer düşüklüğü,neutral,nötr,0.260546,0.609055,0.130399,False
"Mavi Makine, Mısır pazarında 1.182 milyon TL tutarında 4 yıllık satış sözleşmesi imzaladı; anlaşmanın gelecek 12 ay gelirlerine doğrudan katkı sağlaması bekleniyor.",positive,pozitif,clear_contract_gain,açık sözleşme kazanımı,clear,positive_like,False,investor_impact,Somut büyüklüğü olan yeni sözleşme yatırımcı açısından açık pozitif kabul edilir.,PHRASE-0057,açık,açık sözleşme kazanımı,neutral,nötr,0.003345,0.619173,0.377482,False
"Güney Perakende, bilanço esnekliğini korumak ve nakit yönetimini desteklemek amacıyla 317 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,7x seviyesinden 2,8x seviyesine yükseldi.",negative,negatif,hard_liquidity_pressure,olumlu dille likidite baskısı,hard,positive_like,True,investor_impact,Dil yapısı olumlu görünse de artan kısa vadeli borç ve kötüleşen kaldıraç oranı yatırımcı açısından negatiftir.,PHRASE-0058,hard,olumlu dille likidite baskısı,positive,pozitif,0.002982,0.173253,0.823765,False
"Anatolia Gıda, mevcut kredi limitini 9 ay benzer vade ve maliyet koşullarıyla yenilediğini ve işlem nedeniyle kârlılık beklentilerinde değişiklik olmadığını açıkladı.",neutral,nötr,unchanged_financing_rollover,koşulları değişmeyen finansman yenilemesi,nuanced,neutral_like,False,investor_impact,Yeni değer yaratan veya bozan bir unsur içermeyen finansman yenilemesi neutral etiketlenir.,PHRASE-0061,nüanslı,koşulları değişmeyen finansman yenilemesi,positive,pozitif,0.007566,0.484127,0.508308,False
"Delta Yatırım Holding, Birleşik Arap Emirlikleri pazarında 798 milyon TL tutarında 4 yıllık satış sözleşmesi imzaladı; anlaşmanın gelecek 12 ay gelirlerine doğrudan katkı sağlaması bekleniyor.",positive,pozitif,clear_contract_gain,açık sözleşme kazanımı,clear,positive_like,False,investor_impact,Somut büyüklüğü olan yeni sözleşme yatırımcı açısından açık pozitif kabul edilir.,PHRASE-0062,açık,açık sözleşme kazanımı,neutral,nötr,0.003112,0.597979,0.398908,False
"Vizyon Telekom, bilanço esnekliğini korumak ve nakit yönetimini desteklemek amacıyla 517 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 2,7x seviyesinden 4,0x seviyesine yükseldi.",negative,negatif,hard_liquidity_pressure,olumlu dille likidite baskısı,hard,positive_like,True,investor_impact,Dil yapısı olumlu görünse de artan kısa vadeli borç ve kötüleşen kaldıraç oranı yatırımcı açısından negatiftir.,PHRASE-0064,hard,olumlu dille likidite baskısı,positive,pozitif,0.002444,0.109279,0.888277,False
"Lima Gayrimenkul, portföy verimliliğini artırma süreci kapsamında Polonya pazarındaki 1.060 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini açıkladı.",negative,negatif,hard_contract_loss,olumlu dille sözleşme kaybı,hard,positive_like,True,investor_impact,Yeniden dengeleme dili olumlu görünse de önemli sözleşme kaybı yatırımcı açısından negatiftir.,PHRASE-0067,hard,olumlu dille sözleşme kaybı,neutral,nötr,0.416825,0.568056,0.015119,False
"Eksen Teknoloji, sermaye yapısını güçlendirmek ve büyüme esnekliğini artırmak amacıyla %104 oranında bedelli sermaye artırımı planladığını duyurdu.",negative,negatif,hard_rights_issue,olumlu dille bedelli sermaye artırımı,hard,positive_like,True,investor_impact,Dil olumlu olsa da hissedar seyrelmesi yaratan bedelli sermaye artırımı yatırımcı açısından negatiftir.,PHRASE-0068,hard,olumlu dille bedelli sermaye artırımı,positive,pozitif,0.005541,0.151633,0.842826,False
"Nova Sağlık, 2025 üçüncü çeyrek sonrasında bilanço dayanıklılığını korumak amacıyla bu yıl temettü dağıtmayacağını ve yatırım harcamalarının bir bölümünü sonraki döneme kaydıracağını duyurdu.",negative,negatif,hard_dividend_cut,olumlu dille temettü iptali,hard,positive_like,True,investor_impact,Koruyucu dil kullanılmasına rağmen temettü iptali ve harcama ertelemesi yatırımcı açısından negatiftir.,PHRASE-0073,hard,olumlu dille temettü iptali,neutral,nötr,0.007553,0.97149,0.020957,False
"Vizyon Telekom, bilanço esnekliğini korumak ve nakit yönetimini desteklemek amacıyla 1.444 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 2,5x seviyesinden 3,6x seviyesine yükseldi.",negative,negatif,hard_liquidity_pressure,olumlu dille likidite baskısı,hard,positive_like,True,investor_impact,Dil yapısı olumlu görünse de artan kısa vadeli borç ve kötüleşen kaldıraç oranı yatırımcı açısından negatiftir.,PHRASE-0075,hard,olumlu dille likidite baskısı,positive,pozitif,0.002327,0.088384,0.909289,False
"Anatolia Gıda, İtalya pazarında 1.150 milyon TL tutarında 4 yıllık satış sözleşmesi imzaladı; anlaşmanın gelecek 12 ay gelirlerine doğrudan katkı sağlaması bekleniyor.",positive,pozitif,clear_contract_gain,açık sözleşme kazanımı,clear,positive_like,False,investor_impact,Somut büyüklüğü olan yeni sözleşme yatırımcı açısından açık pozitif kabul edilir.,PHRASE-0076,açık,açık sözleşme kazanımı,neutral,nötr,0.003396,0.515764,0.48084,False
"Formel Kimya, 2025 üçüncü çeyrek sonrasında bilanço dayanıklılığını korumak amacıyla bu yıl temettü dağıtmayacağını ve yatırım harcamalarının bir bölümünü sonraki döneme kaydıracağını duyurdu.",negative,negatif,hard_dividend_cut,olumlu dille temettü iptali,hard,positive_like,True,investor_impact,Koruyucu dil kullanılmasına rağmen temettü iptali ve harcama ertelemesi yatırımcı açısından negatiftir.,PHRASE-0080,hard,olumlu dille temettü iptali,neutral,nötr,0.006859,0.974409,0.018732,False
"Formel Kimya, Birleşik Arap Emirlikleri pazarında 983 milyon TL tutarında 4 yıllık satış sözleşmesi imzaladı; anlaşmanın gelecek 12 ay gelirlerine doğrudan katkı sağlaması bekleniyor.",positive,pozitif,clear_contract_gain,açık sözleşme kazanımı,clear,positive_like,False,investor_impact,Somut büyüklüğü olan yeni sözleşme yatırımcı açısından açık pozitif kabul edilir.,PHRASE-0081,açık,açık sözleşme kazanımı,neutral,nötr,0.003256,0.591679,0.405064,False
"Güney Perakende, 2025 üçüncü çeyrek sonrasında bilanço dayanıklılığını korumak amacıyla bu yıl temettü dağıtmayacağını ve yatırım harcamalarının bir bölümünü sonraki döneme kaydıracağını duyurdu.",negative,negatif,hard_dividend_cut,olumlu dille temettü iptali,hard,positive_like,True,investor_impact,Koruyucu dil kullanılmasına rağmen temettü iptali ve harcama ertelemesi yatırımcı açısından negatiftir.,PHRASE-0083,hard,olumlu dille temettü iptali,neutral,nötr,0.006429,0.978129,0.015442,False
"Kuzey Madencilik, Romanya pazarında 340 milyon TL tutarında 3 yıllık satış sözleşmesi imzaladı; anlaşmanın gelecek 12 ay gelirlerine doğrudan katkı sağlaması bekleniyor.",positive,pozitif,clear_contract_gain,açık sözleşme kazanımı,clear,positive_like,False,investor_impact,Somut büyüklüğü olan yeni sözleşme yatırımcı açısından açık pozitif kabul edilir.,PHRASE-0085,açık,açık sözleşme kazanımı,neutral,nötr,0.003162,0.508943,0.487895,False
"Bora Lojistik, portföy verimliliğini artırma süreci kapsamında Mısır pazarındaki 1.296 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini açıkladı.",negative,negatif,hard_contract_loss,olumlu dille sözleşme kaybı,hard,positive_like,True,investor_impact,Yeniden dengeleme dili olumlu görünse de önemli sözleşme kaybı yatırımcı açısından negatiftir.,PHRASE-0086,hard,olumlu dille sözleşme kaybı,neutral,nötr,0.45826,0.518979,0.022761,False
"Güney Perakende, 2025 ilk çeyrek sonrasında bilanço dayanıklılığını korumak amacıyla bu yıl temettü dağıtmayacağını ve yatırım harcamalarının bir bölümünü sonraki döneme kaydıracağını duyurdu.",negative,negatif,hard_dividend_cut,olumlu dille temettü iptali,hard,positive_like,True,investor_impact,Koruyucu dil kullanılmasına rağmen temettü iptali ve harcama ertelemesi yatırımcı açısından negatiftir.,PHRASE-0089,hard,olumlu dille temettü iptali,neutral,nötr,0.006807,0.978511,0.014682,False
"Pera Yazılım, 2025 ilk çeyrek sonrasında bilanço dayanıklılığını korumak amacıyla bu yıl temettü dağıtmayacağını ve yatırım harcamalarının bir bölümünü sonraki döneme kaydıracağını duyurdu.",negative,negatif,hard_dividend_cut,olumlu dille temettü iptali,hard,positive_like,True,investor_impact,Koruyucu dil kullanılmasına rağmen temettü iptali ve harcama ertelemesi yatırımcı açısından negatiftir.,PHRASE-0091,hard,olumlu dille temettü iptali,neutral,nötr,0.007029,0.973254,0.019717,False
"Sera Ambalaj, hisse başına 2,65 TL nakit temettü dağıtacağını ve 787 milyon TL tutarında pay geri alım programı başlatacağını açıkladı.",positive,pozitif,clear_shareholder_return,açık hissedar getirisi,clear,positive_like,False,investor_impact,Temettü ve geri alım birlikte yatırımcı açısından açık pozitif değer sinyali üretir.,PHRASE-0095,açık,açık hissedar getirisi,neutral,nötr,0.00571,0.94684,0.04745,False
"Vizyon Telekom, bilanço esnekliğini korumak ve nakit yönetimini desteklemek amacıyla 1.105 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 2,1x seviyesinden 3,1x seviyesine yükseldi.",negative,negatif,hard_liquidity_pressure,olumlu dille likidite baskısı,hard,positive_like,True,investor_impact,Dil yapısı olumlu görünse de artan kısa vadeli borç ve kötüleşen kaldıraç oranı yatırımcı açısından negatiftir.,PHRASE-0099,hard,olumlu dille likidite baskısı,positive,pozitif,0.002381,0.092245,0.905374,False
"Aksa Enerji, portföy sadeleştirme programı kapsamında 178 milyon TL stok ve varlık değer düşüklüğü gideri kaydettiğini açıkladı.",negative,negatif,hard_inventory_writeoff,olumlu dille değer düşüklüğü,hard,positive_like,True,investor_impact,Portföy sadeleştirme dili olumlu görünse de değer düşüklüğü gideri yatırımcı açısından negatiftir.,PHRASE-0100,hard,olumlu dille değer düşüklüğü,neutral,nötr,0.26496,0.595575,0.139466,False
"Hedef Savunma, hisse başına 2,93 TL nakit temettü dağıtacağını ve 872 milyon TL tutarında pay geri alım programı başlatacağını açıkladı.",positive,pozitif,clear_shareholder_return,açık hissedar getirisi,clear,positive_like,False,investor_impact,Temettü ve geri alım birlikte yatırımcı açısından açık pozitif değer sinyali üretir.,PHRASE-0103,açık,açık hissedar getirisi,neutral,nötr,0.005507,0.934156,0.060337,False
"Rota Cam, Almanya pazarında 451 milyon TL tutarında 4 yıllık satış sözleşmesi imzaladı; anlaşmanın gelecek 12 ay gelirlerine doğrudan katkı sağlaması bekleniyor.",positive,pozitif,clear_contract_gain,açık sözleşme kazanımı,clear,positive_like,False,investor_impact,Somut büyüklüğü olan yeni sözleşme yatırımcı açısından açık pozitif kabul edilir.,PHRASE-0105,açık,açık sözleşme kazanımı,neutral,nötr,0.00341,0.512902,0.483689,False
"Vizyon Telekom, portföy sadeleştirme programı kapsamında 65 milyon TL stok ve varlık değer düşüklüğü gideri kaydettiğini açıkladı.",negative,negatif,hard_inventory_writeoff,olumlu dille değer düşüklüğü,hard,positive_like,True,investor_impact,Portföy sadeleştirme dili olumlu görünse de değer düşüklüğü gideri yatırımcı açısından negatiftir.,PHRASE-0106,hard,olumlu dille değer düşüklüğü,neutral,nötr,0.233444,0.624842,0.141713,False
"Orion Otomotiv, portföy sadeleştirme programı kapsamında 179 milyon TL stok ve varlık değer düşüklüğü gideri kaydettiğini açıkladı.",negative,negatif,hard_inventory_writeoff,olumlu dille değer düşüklüğü,hard,positive_like,True,investor_impact,Portföy sadeleştirme dili olumlu görünse de değer düşüklüğü gideri yatırımcı açısından negatiftir.,PHRASE-0108,hard,olumlu dille değer düşüklüğü,neutral,nötr,0.321277,0.549024,0.129699,False
"Bora Lojistik, mevcut kredi limitini 9 ay benzer vade ve maliyet koşullarıyla yenilediğini ve işlem nedeniyle kârlılık beklentilerinde değişiklik olmadığını açıkladı.",neutral,nötr,unchanged_financing_rollover,koşulları değişmeyen finansman yenilemesi,nuanced,neutral_like,False,investor_impact,Yeni değer yaratan veya bozan bir unsur içermeyen finansman yenilemesi neutral etiketlenir.,PHRASE-0111,nüanslı,koşulları değişmeyen finansman yenilemesi,positive,pozitif,0.006504,0.479912,0.513584,False
"Nova Sağlık, 2025 ilk çeyrek sonrasında bilanço dayanıklılığını korumak amacıyla bu yıl temettü dağıtmayacağını ve yatırım harcamalarının bir bölümünü sonraki döneme kaydıracağını duyurdu.",negative,negatif,hard_dividend_cut,olumlu dille temettü iptali,hard,positive_like,True,investor_impact,Koruyucu dil kullanılmasına rağmen temettü iptali ve harcama ertelemesi yatırımcı açısından negatiftir.,PHRASE-0112,hard,olumlu dille temettü iptali,neutral,nötr,0.007965,0.97224,0.019795,False
"Anatolia Gıda, bilanço esnekliğini korumak ve nakit yönetimini desteklemek amacıyla 853 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 2,4x seviyesinden 2,9x seviyesine yükseldi.",negative,negatif,hard_liquidity_pressure,olumlu dille likidite baskısı,hard,positive_like,True,investor_impact,Dil yapısı olumlu görünse de artan kısa vadeli borç ve kötüleşen kaldıraç oranı yatırımcı açısından negatiftir.,PHRASE-0113,hard,olumlu dille likidite baskısı,positive,pozitif,0.002679,0.142575,0.854746,False
"Aksa Enerji, portföy sadeleştirme programı kapsamında 88 milyon TL stok ve varlık değer düşüklüğü gideri kaydettiğini açıkladı.",negative,negatif,hard_inventory_writeoff,olumlu dille değer düşüklüğü,hard,positive_like,True,investor_impact,Portföy sadeleştirme dili olumlu görünse de değer düşüklüğü gideri yatırımcı açısından negatiftir.,PHRASE-0115,hard,olumlu dille değer düşüklüğü,neutral,nötr,0.201892,0.66114,0.136968,False
"Rota Cam, bilanço esnekliğini korumak ve nakit yönetimini desteklemek amacıyla 1.375 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 2,0x seviyesinden 2,7x seviyesine yükseldi.",negative,negatif,hard_liquidity_pressure,olumlu dille likidite baskısı,hard,positive_like,True,investor_impact,Dil yapısı olumlu görünse de artan kısa vadeli borç ve kötüleşen kaldıraç oranı yatırımcı açısından negatiftir.,PHRASE-0118,hard,olumlu dille likidite baskısı,positive,pozitif,0.002431,0.107596,0.889973,False
"Güney Perakende, bilanço esnekliğini korumak ve nakit yönetimini desteklemek amacıyla 1.235 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,9x seviyesinden 2,5x seviyesine yükseldi.",negative,negatif,hard_liquidity_pressure,olumlu dille likidite baskısı,hard,positive_like,True,investor_impact,Dil yapısı olumlu görünse de artan kısa vadeli borç ve kötüleşen kaldıraç oranı yatırımcı açısından negatiftir.,PHRASE-0119,hard,olumlu dille likidite baskısı,positive,pozitif,0.002755,0.143727,0.853518,False
"Trend Tarım, bilanço esnekliğini korumak ve nakit yönetimini desteklemek amacıyla 1.115 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,4x seviyesinden 2,6x seviyesine yükseldi.",negative,negatif,hard_liquidity_pressure,olumlu dille likidite baskısı,hard,positive_like,True,investor_impact,Dil yapısı olumlu görünse de artan kısa vadeli borç ve kötüleşen kaldıraç oranı yatırımcı açısından negatiftir.,PHRASE-0128,hard,olumlu dille likidite baskısı,positive,pozitif,0.0026,0.130605,0.866796,False
"Eksen Teknoloji, 2026 ilk yarı sonrasında bilanço dayanıklılığını korumak amacıyla bu yıl temettü dağıtmayacağını ve yatırım harcamalarının bir bölümünü sonraki döneme kaydıracağını duyurdu.",negative,negatif,hard_dividend_cut,olumlu dille temettü iptali,hard,positive_like,True,investor_impact,Koruyucu dil kullanılmasına rağmen temettü iptali ve harcama ertelemesi yatırımcı açısından negatiftir.,PHRASE-0129,hard,olumlu dille temettü iptali,neutral,nötr,0.007151,0.966689,0.02616,False
"Bora Lojistik, hisse başına 1,07 TL nakit temettü dağıtacağını ve 714 milyon TL tutarında pay geri alım programı başlatacağını açıkladı.",positive,pozitif,clear_shareholder_return,açık hissedar getirisi,clear,positive_like,False,investor_impact,Temettü ve geri alım birlikte yatırımcı açısından açık pozitif değer sinyali üretir.,PHRASE-0141,açık,açık hissedar getirisi,neutral,nötr,0.005916,0.94379,0.050293,False
"Vizyon Telekom, 2025 üçüncü çeyrek sonrasında bilanço dayanıklılığını korumak amacıyla bu yıl temettü dağıtmayacağını ve yatırım harcamalarının bir bölümünü sonraki döneme kaydıracağını duyurdu.",negative,negatif,hard_dividend_cut,olumlu dille temettü iptali,hard,positive_like,True,investor_impact,Koruyucu dil kullanılmasına rağmen temettü iptali ve harcama ertelemesi yatırımcı açısından negatiftir.,PHRASE-0142,hard,olumlu dille temettü iptali,neutral,nötr,0.007347,0.97698,0.015673,False
"Orion Otomotiv, 2025 ilk çeyrek sonrasında bilanço dayanıklılığını korumak amacıyla bu yıl temettü dağıtmayacağını ve yatırım harcamalarının bir bölümünü sonraki döneme kaydıracağını duyurdu.",negative,negatif,hard_dividend_cut,olumlu dille temettü iptali,hard,positive_like,True,investor_impact,Koruyucu dil kullanılmasına rağmen temettü iptali ve harcama ertelemesi yatırımcı açısından negatiftir.,PHRASE-0153,hard,olumlu dille temettü iptali,neutral,nötr,0.007703,0.973084,0.019212,False
"Delta Yatırım Holding, hisse başına 2,55 TL nakit temettü dağıtacağını ve 548 milyon TL tutarında pay geri alım programı başlatacağını açıkladı.",positive,pozitif,clear_shareholder_return,açık hissedar getirisi,clear,positive_like,False,investor_impact,Temettü ve geri alım birlikte yatırımcı açısından açık pozitif değer sinyali üretir.,PHRASE-0154,açık,açık hissedar getirisi,neutral,nötr,0.005479,0.948447,0.046074,False
"Rota Cam, portföy sadeleştirme programı kapsamında 320 milyon TL stok ve varlık değer düşüklüğü gideri kaydettiğini açıkladı.",negative,negatif,hard_inventory_writeoff,olumlu dille değer düşüklüğü,hard,positive_like,True,investor_impact,Portföy sadeleştirme dili olumlu görünse de değer düşüklüğü gideri yatırımcı açısından negatiftir.,PHRASE-0155,hard,olumlu dille değer düşüklüğü,neutral,nötr,0.351577,0.506079,0.142343,False
"Pera Yazılım, sermaye yapısını güçlendirmek ve büyüme esnekliğini artırmak amacıyla %37 oranında bedelli sermaye artırımı planladığını duyurdu.",negative,negatif,hard_rights_issue,olumlu dille bedelli sermaye artırımı,hard,positive_like,True,investor_impact,Dil olumlu olsa da hissedar seyrelmesi yaratan bedelli sermaye artırımı yatırımcı açısından negatiftir.,PHRASE-0158,hard,olumlu dille bedelli sermaye artırımı,positive,pozitif,0.005569,0.169953,0.824478,False
