text,ground_truth,ground_truth_tr,difficulty,difficulty_tr,category,category_tr,label_rationale,source,id,predicted_label,predicted_label_tr,score_negative,score_neutral,score_positive,correct
"Bora Lojistik, hisse başına 2,42 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 530 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0050,neutral,nötr,0.005043,0.914992,0.079964,False
"Bora Lojistik, Polonya pazarındaki 1.228 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0053,neutral,nötr,0.368321,0.618871,0.012808,False
"Anatolia Gıda, artan işletme sermayesi ihtiyacı nedeniyle 602 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,3x seviyesinden 2,9x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0054,positive,pozitif,0.003232,0.153377,0.84339,False
"Orion Otomotiv, zayıflayan nakit akışı nedeniyle bu yıl temettü dağıtmayacağını ve planlanan yatırım harcamalarının bir bölümünü ertelediğini duyurdu.",negative,negatif,clear,açık,dividend_cut,temettü iptali,Temettü iptali ve harcama ertelemesi finansal zayıflık işareti olduğu için negatif etiketlenir.,synthetic_rule_based,BENCH-0060,neutral,nötr,0.354815,0.63601,0.009174,False
"Güney Perakende, zayıflayan nakit akışı nedeniyle bu yıl temettü dağıtmayacağını ve planlanan yatırım harcamalarının bir bölümünü ertelediğini duyurdu.",negative,negatif,clear,açık,dividend_cut,temettü iptali,Temettü iptali ve harcama ertelemesi finansal zayıflık işareti olduğu için negatif etiketlenir.,synthetic_rule_based,BENCH-0063,neutral,nötr,0.297631,0.693115,0.009254,False
"Birlik Çelik, zayıflayan nakit akışı nedeniyle bu yıl temettü dağıtmayacağını ve planlanan yatırım harcamalarının bir bölümünü ertelediğini duyurdu.",negative,negatif,clear,açık,dividend_cut,temettü iptali,Temettü iptali ve harcama ertelemesi finansal zayıflık işareti olduğu için negatif etiketlenir.,synthetic_rule_based,BENCH-0067,neutral,nötr,0.328404,0.661364,0.010232,False
"Trend Tarım, zayıflayan nakit akışı nedeniyle bu yıl temettü dağıtmayacağını ve planlanan yatırım harcamalarının bir bölümünü ertelediğini duyurdu.",negative,negatif,clear,açık,dividend_cut,temettü iptali,Temettü iptali ve harcama ertelemesi finansal zayıflık işareti olduğu için negatif etiketlenir.,synthetic_rule_based,BENCH-0068,neutral,nötr,0.262592,0.728354,0.009054,False
"Hedef Savunma, artan işletme sermayesi ihtiyacı nedeniyle 348 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 3,1x seviyesinden 4,4x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0070,positive,pozitif,0.002573,0.053294,0.944132,False
"Lima Gayrimenkul, Mısır pazarındaki 1.001 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0073,neutral,nötr,0.282776,0.704296,0.012928,False
"Mavi Makine, artan işletme sermayesi ihtiyacı nedeniyle 1.050 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 2,3x seviyesinden 2,9x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0075,positive,pozitif,0.002993,0.101,0.896007,False
"Nova Sağlık, artan işletme sermayesi ihtiyacı nedeniyle 430 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,4x seviyesinden 2,8x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0080,positive,pozitif,0.003158,0.110662,0.88618,False
"Hedef Savunma, Romanya pazarındaki 949 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0087,neutral,nötr,0.316876,0.669868,0.013256,False
"Mavi Makine, zayıflayan nakit akışı nedeniyle bu yıl temettü dağıtmayacağını ve planlanan yatırım harcamalarının bir bölümünü ertelediğini duyurdu.",negative,negatif,clear,açık,dividend_cut,temettü iptali,Temettü iptali ve harcama ertelemesi finansal zayıflık işareti olduğu için negatif etiketlenir.,synthetic_rule_based,BENCH-0098,neutral,nötr,0.30672,0.684302,0.008978,False
"Delta Yatırım Holding, artan işletme sermayesi ihtiyacı nedeniyle 440 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 2,2x seviyesinden 3,8x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0100,positive,pozitif,0.003164,0.128073,0.868763,False
"Pera Yazılım, artan işletme sermayesi ihtiyacı nedeniyle 1.247 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,6x seviyesinden 2,6x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0103,positive,pozitif,0.003052,0.096924,0.900024,False
"Rota Cam, hisse başına 1,36 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 430 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0106,neutral,nötr,0.005448,0.903541,0.091011,False
"Vizyon Telekom, hisse başına 4,43 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 818 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0108,neutral,nötr,0.005728,0.92456,0.069712,False
"Eksen Teknoloji, artan işletme sermayesi ihtiyacı nedeniyle 1.367 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,6x seviyesinden 2,3x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0119,positive,pozitif,0.002855,0.094825,0.90232,False
"Hedef Savunma, artan işletme sermayesi ihtiyacı nedeniyle 535 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,7x seviyesinden 2,6x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0126,positive,pozitif,0.002767,0.070699,0.926533,False
"Sera Ambalaj, Birleşik Arap Emirlikleri pazarındaki 1.298 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0139,neutral,nötr,0.327369,0.658255,0.014376,False
"Pera Yazılım, zayıflayan nakit akışı nedeniyle bu yıl temettü dağıtmayacağını ve planlanan yatırım harcamalarının bir bölümünü ertelediğini duyurdu.",negative,negatif,clear,açık,dividend_cut,temettü iptali,Temettü iptali ve harcama ertelemesi finansal zayıflık işareti olduğu için negatif etiketlenir.,synthetic_rule_based,BENCH-0150,neutral,nötr,0.296895,0.693474,0.009631,False
"Lima Gayrimenkul, hisse başına 2,65 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 296 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0153,neutral,nötr,0.005245,0.923927,0.070829,False
"Nova Sağlık, mevcut kredi limitini aynı tutar ve benzer koşullarla 12 ay uzattı; açıklamada kârlılık beklentilerinde değişiklik olmadığı belirtildi.",neutral,nötr,nuanced,nüanslı,loan_renewal_unchanged,kredi yenileme değişikliksiz,Kredi limitinin mevcut koşullarla yenilenmesi önemli yeni pozitif ya da negatif bilgi içermediği için nötrdür.,synthetic_rule_based,BENCH-0154,positive,pozitif,0.009949,0.459806,0.530245,False
"Formel Kimya, artan işletme sermayesi ihtiyacı nedeniyle 1.109 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,8x seviyesinden 2,9x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0159,positive,pozitif,0.003375,0.134478,0.862147,False
"Hedef Savunma, hisse başına 3,33 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 489 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0162,neutral,nötr,0.004614,0.901343,0.094044,False
"Hedef Savunma, hisse başına 3,94 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 479 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0163,neutral,nötr,0.004771,0.894651,0.100578,False
"Güney Perakende, hisse başına 4,55 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 679 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0165,neutral,nötr,0.004828,0.923441,0.071731,False
"Anatolia Gıda, hisse başına 1,46 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 653 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0166,neutral,nötr,0.00514,0.934215,0.060645,False
"Birlik Çelik, artan işletme sermayesi ihtiyacı nedeniyle 1.700 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 2,4x seviyesinden 3,1x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0171,positive,pozitif,0.002686,0.07789,0.919425,False
"Vizyon Telekom, mevcut kredi limitini aynı tutar ve benzer koşullarla 9 ay uzattı; açıklamada kârlılık beklentilerinde değişiklik olmadığı belirtildi.",neutral,nötr,nuanced,nüanslı,loan_renewal_unchanged,kredi yenileme değişikliksiz,Kredi limitinin mevcut koşullarla yenilenmesi önemli yeni pozitif ya da negatif bilgi içermediği için nötrdür.,synthetic_rule_based,BENCH-0178,positive,pozitif,0.0121,0.491034,0.496866,False
"Bora Lojistik, zayıflayan nakit akışı nedeniyle bu yıl temettü dağıtmayacağını ve planlanan yatırım harcamalarının bir bölümünü ertelediğini duyurdu.",negative,negatif,clear,açık,dividend_cut,temettü iptali,Temettü iptali ve harcama ertelemesi finansal zayıflık işareti olduğu için negatif etiketlenir.,synthetic_rule_based,BENCH-0179,neutral,nötr,0.33107,0.659416,0.009514,False
"Formel Kimya, Romanya pazarındaki 1.398 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0182,neutral,nötr,0.348142,0.6396,0.012258,False
"Delta Yatırım Holding, zayıflayan nakit akışı nedeniyle bu yıl temettü dağıtmayacağını ve planlanan yatırım harcamalarının bir bölümünü ertelediğini duyurdu.",negative,negatif,clear,açık,dividend_cut,temettü iptali,Temettü iptali ve harcama ertelemesi finansal zayıflık işareti olduğu için negatif etiketlenir.,synthetic_rule_based,BENCH-0184,neutral,nötr,0.345583,0.645228,0.009188,False
"Güney Perakende, Birleşik Arap Emirlikleri pazarındaki 533 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0187,neutral,nötr,0.352326,0.634136,0.013538,False
"Mavi Makine, artan işletme sermayesi ihtiyacı nedeniyle 1.042 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,8x seviyesinden 2,4x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0189,positive,pozitif,0.003422,0.123885,0.872693,False
"Nova Sağlık, Mısır pazarındaki 1.430 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0190,neutral,nötr,0.311852,0.67346,0.014689,False
"Formel Kimya, Birleşik Arap Emirlikleri pazarındaki 1.432 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0197,neutral,nötr,0.317853,0.667886,0.014262,False
"Işık Sigorta, hisse başına 3,46 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 492 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0202,neutral,nötr,0.00609,0.89184,0.10207,False
"Delta Yatırım Holding, İtalya pazarındaki 868 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0215,neutral,nötr,0.283125,0.705446,0.011429,False
"Bora Lojistik, artan işletme sermayesi ihtiyacı nedeniyle 557 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 2,3x seviyesinden 3,0x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0220,positive,pozitif,0.002661,0.09812,0.899219,False
"Kuzey Madencilik, mevcut kredi limitini aynı tutar ve benzer koşullarla 9 ay uzattı; açıklamada kârlılık beklentilerinde değişiklik olmadığı belirtildi.",neutral,nötr,nuanced,nüanslı,loan_renewal_unchanged,kredi yenileme değişikliksiz,Kredi limitinin mevcut koşullarla yenilenmesi önemli yeni pozitif ya da negatif bilgi içermediği için nötrdür.,synthetic_rule_based,BENCH-0224,positive,pozitif,0.011057,0.49185,0.497093,False
"Sera Ambalaj, hisse başına 4,40 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 184 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0227,neutral,nötr,0.005041,0.916409,0.07855,False
"Hedef Savunma, hisse başına 2,54 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 247 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0228,neutral,nötr,0.004856,0.901616,0.093528,False
"Nova Sağlık, artan işletme sermayesi ihtiyacı nedeniyle 566 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 2,4x seviyesinden 4,1x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0233,positive,pozitif,0.002805,0.090065,0.90713,False
"Aksa Enerji, hisse başına 4,07 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 123 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0243,neutral,nötr,0.005513,0.897321,0.097167,False
"Sera Ambalaj, hisse başına 1,97 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 521 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0244,neutral,nötr,0.00504,0.921988,0.072971,False
"Trend Tarım, hisse başına 0,51 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 714 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0249,neutral,nötr,0.005026,0.923179,0.071795,False
"Güney Perakende, hisse başına 3,38 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 923 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0269,neutral,nötr,0.00541,0.923091,0.071499,False
"Güney Perakende, hisse başına 0,71 TL nakit temettü dağıtma kararı aldı ve eş zamanlı olarak 188 milyon TL tutarında pay geri alım programı başlattığını duyurdu.",positive,pozitif,clear,açık,shareholder_return,temettü ve geri alım,Temettü ve geri alım birlikte hissedar getirisi açısından güçlü pozitif sinyal oluşturur.,synthetic_rule_based,BENCH-0271,neutral,nötr,0.00566,0.931645,0.062695,False
"Birlik Çelik, Romanya pazarındaki 934 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0275,neutral,nötr,0.398921,0.58835,0.012729,False
"Vizyon Telekom, İtalya pazarındaki 536 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0284,neutral,nötr,0.362097,0.626336,0.011568,False
"Kuzey Madencilik, zayıflayan nakit akışı nedeniyle bu yıl temettü dağıtmayacağını ve planlanan yatırım harcamalarının bir bölümünü ertelediğini duyurdu.",negative,negatif,clear,açık,dividend_cut,temettü iptali,Temettü iptali ve harcama ertelemesi finansal zayıflık işareti olduğu için negatif etiketlenir.,synthetic_rule_based,BENCH-0286,neutral,nötr,0.372462,0.618184,0.009354,False
"Vizyon Telekom, zayıflayan nakit akışı nedeniyle bu yıl temettü dağıtmayacağını ve planlanan yatırım harcamalarının bir bölümünü ertelediğini duyurdu.",negative,negatif,clear,açık,dividend_cut,temettü iptali,Temettü iptali ve harcama ertelemesi finansal zayıflık işareti olduğu için negatif etiketlenir.,synthetic_rule_based,BENCH-0301,neutral,nötr,0.322438,0.66812,0.009442,False
"Kuzey Madencilik, Almanya pazarındaki 1.384 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0308,neutral,nötr,0.344587,0.642993,0.01242,False
"Anatolia Gıda, artan işletme sermayesi ihtiyacı nedeniyle 1.127 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 2,3x seviyesinden 3,6x seviyesine yükseldi.",negative,negatif,clear,açık,liquidity_pressure,likidite baskısı,Likidite baskısı ve kaldıraç artışı yatırımcı açısından negatif finansal gelişmelerdir.,synthetic_rule_based,BENCH-0309,positive,pozitif,0.002825,0.102612,0.894562,False
"Rota Cam, zayıflayan nakit akışı nedeniyle bu yıl temettü dağıtmayacağını ve planlanan yatırım harcamalarının bir bölümünü ertelediğini duyurdu.",negative,negatif,clear,açık,dividend_cut,temettü iptali,Temettü iptali ve harcama ertelemesi finansal zayıflık işareti olduğu için negatif etiketlenir.,synthetic_rule_based,BENCH-0310,neutral,nötr,0.316352,0.673854,0.009794,False
"Kuzey Madencilik, Polonya pazarındaki 635 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini duyurdu.",negative,negatif,clear,açık,contract_loss,sözleşme kaybı,Önemli bir ticari sözleşmenin kaybı gelecekteki satışlar için somut negatif sinyaldir.,synthetic_rule_based,BENCH-0313,neutral,nötr,0.348281,0.639724,0.011994,False
